restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
1000,100,0,4.8,300,120.0,13.0,20.0,5.0,25.0,0.0,260.0,87.0,750.0,31.0,31,10.0,4,17.0,3.0,17.0,10.0,0.0,25.0,15.0
1000,100,1,4.8,250,70.0,8.0,12.0,3.0,15.0,0.0,25.0,8.0,770.0,32.0,30,10.0,4,17.0,3.0,18.0,6.0,0.0,25.0,8.0
1000,100,2,3.9,370,200.0,23.0,35.0,8.0,42.0,0.0,45.0,15.0,780.0,33.0,29,10.0,4,17.0,2.0,14.0,8.0,0.0,25.0,10.0
1000,100,3,5.7,450,250.0,28.0,43.0,10.0,52.0,0.0,285.0,95.0,860.0,36.0,30,10.0,4,17.0,2.0,21.0,15.0,0.0,30.0,15.0
1000,100,4,5.7,400,210.0,23.0,35.0,8.0,42.0,0.0,50.0,16.0,880.0,37.0,30,10.0,4,17.0,2.0,21.0,6.0,0.0,25.0,10.0
1000,100,5,6.5,430,210.0,23.0,36.0,9.0,46.0,1.0,300.0,100.0,960.0,40.0,31,10.0,4,18.0,3.0,26.0,15.0,2.0,30.0,20.0
1000,100,6,5.3,460,230.0,26.0,40.0,13.0,65.0,0.0,250.0,83.0,1300.0,54.0,38,13.0,2,7.0,3.0,19.0,10.0,8.0,15.0,15.0
1000,100,7,5.8,520,270.0,30.0,47.0,14.0,68.0,0.0,250.0,83.0,1410.0,59.0,43,14.0,3,12.0,4.0,19.0,15.0,8.0,20.0,20.0
1000,100,8,5.4,410,180.0,20.0,32.0,11.0,56.0,0.0,35.0,11.0,1300.0,54.0,36,12.0,2,7.0,3.0,20.0,2.0,8.0,15.0,10.0
1000,100,9,5.9,470,220.0,25.0,38.0,12.0,59.0,0.0,35.0,11.0,1420.0,59.0,42,14.0,3,12.0,4.0,20.0,6.0,8.0,15.0,15.0
